case_id,mode,gap_mm,freq_hz,target_bn_t,d_lam_mm,lam_type,perp_enable,current_a,bn_mean_t,bx_h_mean_t,by_h_mean_t,l_h,z_ohm,p_tot_w,p_core_w,p_side_w,f_bx,grid_n
B40064,LT2_ON,2.000000,200000,1.000000,0.025000,2,1,3.055082e+02,1.001351e+00,6.454555e-02,9.794024e-01,1.283108e-05,1.612401e+01,2.036118e+03,1.327826e+03,6.639278e+02,0.01770448,120
B40065,LT2_ON,2.500000,10000,0.500000,0.025000,2,1,1.828710e+02,5.008462e-01,2.018090e-02,4.935668e-01,1.071794e-05,6.734283e-01,6.397904e+00,9.650643e-01,4.824925e-01,0.01822165,120
B40066,LT2_ON,2.500000,10000,1.000000,0.025000,2,1,3.657419e+02,1.001692e+00,4.036179e-02,9.871335e-01,1.071794e-05,6.734283e-01,2.559162e+01,3.860257e+00,1.929970e+00,0.01822165,120
B40067,LT2_ON,2.500000,30000,0.500000,0.025000,2,1,1.828736e+02,5.008462e-01,2.122640e-02,4.933314e-01,1.071779e-05,2.020256e+00,1.931354e+01,8.657530e+00,4.328402e+00,0.01831853,120
B40068,LT2_ON,2.500000,30000,1.000000,0.025000,2,1,3.657471e+02,1.001692e+00,4.245281e-02,9.866628e-01,1.071779e-05,2.020256e+00,7.725415e+01,3.463012e+01,1.731361e+01,0.01831853,120
B40069,LT2_ON,2.500000,100000,0.500000,0.025000,2,1,1.829010e+02,5.008466e-01,2.742723e-02,4.909104e-01,1.071618e-05,6.733174e+00,1.625054e+02,9.260356e+01,4.629724e+01,0.01869727,120
B40070,LT2_ON,2.500000,100000,1.000000,0.025000,2,1,3.658020e+02,1.001693e+00,5.485447e-02,9.818208e-01,1.071618e-05,6.733174e+00,6.500216e+02,3.704143e+02,1.851890e+02,0.01869727,120
B40071,LT2_ON,2.500000,200000,0.500000,0.025000,2,1,1.829727e+02,5.008474e-01,3.200743e-02,4.868593e-01,1.071198e-05,1.346107e+01,5.972271e+02,3.305981e+02,1.652799e+02,0.01864964,120
B40072,LT2_ON,2.500000,200000,1.000000,0.025000,2,1,3.659454e+02,1.001695e+00,6.401486e-02,9.737187e-01,1.071198e-05,1.346107e+01,2.388908e+03,1.322392e+03,6.611197e+02,0.01864964,120
B40073,LT2_ON,3.000000,10000,0.500000,0.025000,2,1,2.111206e+02,5.010085e-01,1.881085e-02,4.928999e-01,9.283795e-06,5.833184e-01,8.224313e+00,9.617051e-01,4.807631e-01,0.01955587,120
B40074,LT2_ON,3.000000,10000,1.000000,0.025000,2,1,4.222411e+02,1.002017e+00,3.762170e-02,9.857998e-01,9.283795e-06,5.833184e-01,3.289725e+01,3.846820e+00,1.923052e+00,0.01955587,120
